episode_idx,timestep,object_idx,identity_key_0,identity_key_1,last_pos_x,last_pos_y,occluded,feature_confidence,trajectory_confidence,total_confidence
2,8,0,0.0000,1.0000,15.7699,29.7912,False,0.0000,0.3275,0.6725
2,8,1,1.0000,0.0000,19.8542,15.0070,False,0.0000,0.4267,0.5733
2,9,0,0.0000,1.0000,16.0665,30.6664,False,0.0000,0.2986,0.7014
2,9,1,1.0000,0.0000,20.0238,15.9817,False,0.0000,0.4385,0.5615
2,10,0,0.0000,1.0000,16.3176,31.5300,False,0.0000,0.2730,0.7270
2,10,1,1.0000,0.0000,20.2540,17.0261,False,0.0000,0.4438,0.5562
2,11,0,0.0000,1.0000,16.4779,32.5017,False,0.0000,0.2476,0.7524
2,11,1,1.0000,0.0000,20.7088,18.1388,False,0.0000,0.4335,0.5665
2,12,0,0.0000,1.0000,16.7353,33.4992,False,0.0000,0.2234,0.7766
2,12,1,1.0000,0.0000,21.1512,19.2159,False,0.0000,0.4173,0.5827
2,13,0,0.0000,1.0000,17.1031,34.4601,False,0.0000,0.2016,0.7984
2,13,1,1.0000,0.0000,21.5772,20.3465,False,0.0000,0.3968,0.6032
2,14,0,0.0000,1.0000,22.1483,21.4117,False,1.0000,0.3680,0.6320
2,14,1,1.0000,0.0000,17.5096,35.2770,False,1.0000,0.1842,0.8158
2,15,0,0.0000,1.0000,22.8173,22.5224,False,1.0000,0.3349,0.6651
2,15,1,1.0000,0.0000,17.8425,35.9511,False,1.0000,0.1710,0.8290
2,16,0,0.0000,1.0000,23.5410,23.5902,False,1.0000,0.3017,0.6983
2,16,1,1.0000,0.0000,18.2528,36.6573,False,1.0000,0.1579,0.8421
2,17,0,0.0000,1.0000,24.2930,24.5795,False,1.0000,0.2708,0.7292
2,17,1,1.0000,0.0000,18.6998,37.4262,False,1.0000,0.1447,0.8553
2,18,0,0.0000,1.0000,25.2802,25.4731,False,1.0000,0.2384,0.7616
2,18,1,1.0000,0.0000,19.3714,38.2395,False,1.0000,0.1311,0.8689
2,19,0,0.0000,1.0000,26.2880,26.2992,False,1.0000,0.2099,0.7901
2,19,1,1.0000,0.0000,20.0426,38.8590,False,1.0000,0.1208,0.8792
