swap_ratio,model,epoch,train_loss,mse_loss,identity_loss,val_clean_skill
0.5,MLPPositionFeature,19,45.1867,44.8050,0.3816,0.8356
0.5,MLPPositionFeature,20,43.7950,43.4215,0.3734,0.8472
0.5,ObjectCentricFeatureModel,1,774.6151,774.0020,0.6131,-0.8558
0.5,ObjectCentricFeatureModel,2,226.2391,225.6536,0.5856,0.1559
0.5,ObjectCentricFeatureModel,3,156.7722,156.2524,0.5199,0.2792
0.5,ObjectCentricFeatureModel,4,137.7213,137.2641,0.4572,0.3557
0.5,ObjectCentricFeatureModel,5,120.0687,119.6406,0.4281,0.4668
0.5,ObjectCentricFeatureModel,6,99.5363,99.1293,0.4070,0.6007
0.5,ObjectCentricFeatureModel,7,81.3998,80.9653,0.4345,0.7020
0.5,ObjectCentricFeatureModel,8,68.3368,67.7905,0.5463,0.7621
0.5,ObjectCentricFeatureModel,9,60.1999,59.7314,0.4686,0.8018
0.5,ObjectCentricFeatureModel,10,56.6438,56.2581,0.3856,0.8054
0.5,ObjectCentricFeatureModel,11,54.3446,54.0605,0.2841,0.8177
0.5,ObjectCentricFeatureModel,12,52.2421,52.0178,0.2243,0.8218
0.5,ObjectCentricFeatureModel,13,50.1585,49.9254,0.2331,0.8273
0.5,ObjectCentricFeatureModel,14,48.2128,47.9925,0.2202,0.8331
0.5,ObjectCentricFeatureModel,15,46.6111,46.4018,0.2093,0.8392
0.5,ObjectCentricFeatureModel,16,44.5535,44.3888,0.1647,0.8453
0.5,ObjectCentricFeatureModel,17,43.1848,43.0404,0.1443,0.8495
0.5,ObjectCentricFeatureModel,18,41.5320,41.3992,0.1328,0.8583
0.5,ObjectCentricFeatureModel,19,40.6115,40.4824,0.1291,0.8590
0.5,ObjectCentricFeatureModel,20,39.7758,39.6365,0.1393,0.8517
